Key,en-US,ru-RU,ja-JP,Context
Game.UltimateTicTacToe.Description,Ultimate board mode,Режим на ультимативном поле,アルティメット盤面モード,Game catalog: Ultimate Tic-Tac-Toe description
Mode.Classic,Classic Mode,Классический режим,クラシックモード,Classic game mode (legacy)
Mode.Ultimate,Ultimate Mode,Ультимативный режим,アルティメットモード,Ultimate game mode (legacy)
Mode.Blitz,Blitz Mode,Блиц,ブリッツモード,Blitz game mode (legacy)
Mode.Description.Classic,Standard Tic-Tac-Toe,Стандартные крестики-нолики,標準的な○×ゲーム,Classic mode description (legacy)
Mode.Description.Ultimate,Tic-Tac-Toe within Tic-Tac-Toe,Крестики-нолики внутри крестиков-ноликов,○×ゲームの中の○×ゲーム,Ultimate mode description (legacy)
Mode.Description.Blitz,Fast-paced with time limits,Быстрая игра с ограничением времени,時間制限付きの高速ゲーム,Blitz mode description (legacy)
Player.X,X,X,×,Player X symbol
Player.O,O,O,○,Player O symbol
Player.Waiting,Waiting for opponent...,Ожидание противника...,対戦相手を待っています...,Waiting for opponent
Player.Disconnected,Opponent disconnected,Противник отключился,対戦相手が切断されました,Opponent disconnected
Player.Reconnecting,Opponent reconnecting...,Противник переподключается...,対戦相手が再接続中...,Opponent reconnecting
Hint.FirstMove,Make your first move!,Сделайте первый ход!,最初の手を打ちましょう！,First move hint
Hint.FollowRules,Follow the board rules,Следуйте правилам игры,ルールに従ってください,Rules reminder
Hint.WatchTimer,Watch the timer!,Следите за таймером!,タイマーに注意！,Timer warning
Stats.Wins,Wins: {wins},Побед: {wins},勝利数: {wins},Win count
Stats.Losses,Losses: {losses},Поражений: {losses},敗北数: {losses},Loss count
Stats.Draws,Draws: {draws},Ничьих: {draws},引き分け数: {draws},Draw count
Stats.WinRate,Win Rate: {rate}%,Процент побед: {rate}%,勝率: {rate}%,Win rate percentage
Errors.Network.ConnectionFailed,Connection failed,Ошибка подключения,接続に失敗しました,Connection error
Errors.Network.ConnectionLost,Connection lost,Соединение потеряно,接続が切れました,Connection lost
Errors.Network.Timeout,Connection timeout,Превышено время ожидания,接続タイムアウト,Connection timeout
Errors.Network.ServerError,Server error,Ошибка сервера,サーバーエラー,Server error
Errors.Network.UnknownError,Unknown network error,Неизвестная сетевая ошибка,不明なネットワークエラー,Unknown network error
Errors.Game.InvalidMove,Invalid move,Недопустимый ход,無効な手,Invalid move
Errors.Game.NotYourTurn,"It's not your turn",Сейчас не ваш ход,あなたのターンではありません,Not your turn
Errors.Game.GameEnded,Game has ended,Игра завершена,ゲームは終了しました,Game ended
Errors.Game.PlayerNotFound,Player not found,Игрок не найден,プレイヤーが見つかりません,Player not found
Errors.Lobby.RoomFull,Room is full,Комната заполнена,ルームが満員です,Room full
Errors.Lobby.RoomNotFound,Room not found,Комната не найдена,ルームが見つかりません,Room not found
Errors.Lobby.AlreadyInRoom,Already in a room,Вы уже в комнате,すでにルームに参加しています,Already in room
Errors.Lobby.CreateRoomFailed,Failed to create room,Не удалось создать комнату,ルームの作成に失敗しました,Create room failed
Errors.Lobby.JoinRoomFailed,Failed to join room,Не удалось присоединиться,ルームへの参加に失敗しました,Join room failed
Errors.Auth.LoginFailed,Login failed,Ошибка входа,ログインに失敗しました,Login failed
Errors.Auth.InvalidCredentials,Invalid credentials,Неверные учётные данные,無効な認証情報,Invalid credentials
Errors.Auth.SessionExpired,Session expired,Сессия истекла,セッションが期限切れです,Session expired
Errors.System.OutOfMemory,Out of memory,Недостаточно памяти,メモリ不足,Out of memory
Errors.System.FileNotFound,File not found: {fileName},Файл не найден: {fileName},ファイルが見つかりません: {fileName},File not found
Errors.System.PermissionDenied,Permission denied,Доступ запрещён,アクセス拒否,Permission denied
Errors.Localization.KeyNotFound,Text not found: {key},Текст не найден: {key},テキストが見つかりません: {key},Localization key not found
Errors.Localization.LoadFailed,Failed to load localization: {locale},Не удалось загрузить локализацию: {locale},ローカライゼーションの読み込みに失敗しました: {locale},Localization load failed
Errors.PlayerProfile.NameEmpty,Name cannot be empty,Имя не может быть пустым,名前は空にできません,Player name validation error: empty
Errors.PlayerProfile.NameTooLong,Name is too long,Имя слишком длинное,名前が長すぎます,Player name validation error: too long
Errors.PlayerProfile.NameInvalidChars,Name contains invalid characters,Имя содержит недопустимые символы,名前に無効な文字が含まれています,Player name validation error: invalid symbols
Errors.PlayerProfile.SaveFailed,Failed to save player name,Не удалось сохранить имя игрока,プレイヤー名の保存に失敗しました,Player name save failed
Settings.SelectLanguage,Select Language,Выберите язык,言語を選択,Language selection header
GameWizard.MatchSetup.Back,Back,Назад,戻る,Match setup back button
GameWizard.MatchSetup.Cancel,Cancel,Отмена,キャンセル,Match setup cancel button
GameWizard.MatchSetup.Start,Start,Начать,開始,Match setup start button
GameWizard.MatchSetup.Opponent.Bot,Bot,Бот,ボット,Match setup opponent bot toggle
GameWizard.MatchSetup.Opponent.Human,Human,Человек,人間,Match setup opponent human toggle
GameWizard.MatchSetup.Opponent.Title,Opponent,Соперник,対戦相手,Match setup opponent section title
GameWizard.MatchSetup.ModeOptions.Title,Rules,Правила,ルール,Match setup mode options title
GameWizard.MatchSetup.BotDifficulty.Title,Bot Difficulty,Сложность бота,ボット難易度,Match setup bot difficulty section title
GameWizard.MatchSetup.HumanSettings.Title,Human Settings,Настройки игрока,人間の設定,Match setup human settings section title
GameWizard.MatchSetup.HumanSettings.Local,Local (Same Screen),Локально (один экран),ローカル（同一画面）,Match setup human opponent: local option
GameWizard.MatchSetup.HumanSettings.DirectInvite,Invite by ID,По ID игрока,IDで招待,Match setup human opponent: direct invite option
GameWizard.MatchSetup.HumanSettings.Matchmaking,Find Match,Найти матч,マッチ検索,Match setup human opponent: matchmaking option
GameWizard.Matchmaking.Title,Finding Opponent...,Поиск соперника...,対戦相手を探しています...,Matchmaking title
GameWizard.Matchmaking.SearchingFor,Searching for,Идёт поиск,検索中,Matchmaking searching prefix
GameWizard.Matchmaking.Found,Match found!,Матч найден!,対戦相手が見つかりました!,Matchmaking found status
GameWizard.Matchmaking.Failed,Matchmaking failed,Поиск матча не удался,マッチメイキングに失敗しました,Matchmaking failed status
GameWizard.Matchmaking.Cancelled,Matchmaking cancelled,Поиск матча отменён,マッチメイキングがキャンセルされました,Matchmaking cancelled status
GameWizard.Matchmaking.Cancel,Cancel,Отмена,キャンセル,Matchmaking cancel button
GameWizard.Matchmaking.Retry,Retry,Повторить,再試行,Matchmaking retry button
GameWizard.Matchmaking.Back,Back,Назад,戻る,Matchmaking back button
GameWizard.Matchmaking.Hint,{count} players with different params,{count} игроков с другими параметрами,{count} 人が異なる条件で検索中,Matchmaking hint
GameWizard.MatchSetup.PlayerId.Label,Player ID,ID игрока,プレイヤーID,Match setup player id input label
GameWizard.MatchSetup.SessionId.Label,Session ID,ID сессии,セッションID,Match setup session id label
GameWizard.MatchSetup.SessionId.Copy,Copy ID,Копировать ID,IDをコピー,Match setup copy session id button
GameWizard.MatchSetup.Host.Become,Become Host,Стать хостом,ホストになる,Match setup become host button
GameWizard.MatchSetup.Status.WaitingForPlayer,Waiting for opponent...,Ожидание соперника...,対戦相手を待っています...,Match setup online status: waiting for player
GameWizard.MatchSetup.Status.Connecting,Connecting to session...,Подключение к сессии...,セッションに接続中...,Match setup online status: connecting
GameWizard.MatchSetup.Status.PlayerFoundStartingSoon,Opponent found. Starting soon...,Соперник найден. Скоро старт...,対戦相手が見つかりました。まもなく開始...,Match setup online status: player found and countdown
GameWizard.MatchSetup.Status.Reconnecting,Reconnecting...,Переподключение...,再接続中...,Match setup online status: reconnecting
GameWizard.MatchSetup.Status.SessionIdCopied,Session ID copied,ID сессии скопирован,セッションIDをコピーしました,Match setup online status: session id copied
GameWizard.MatchSetup.Status.HostIntentConfirmed,Host mode selected. Press Start to launch.,Режим хоста выбран. Нажмите «Начать» для запуска.,ホストモードを選択しました。開始するには「開始」を押してください。,Match setup online status: host intent confirmed
GameWizard.MatchSetup.BotDifficulty.Easy,Easy,Лёгкая,簡単,Bot difficulty: easy
GameWizard.MatchSetup.BotDifficulty.Normal,Normal,Нормальная,普通,Bot difficulty: normal
GameWizard.MatchSetup.BotDifficulty.Hard,Hard,Сложная,難しい,Bot difficulty: hard
GameWizard.Timer.Label,Move time,Время на ход,手番制限,Move timer settings title
GameWizard.Timer.Off,No limit,Без ограничения,制限なし,Move timer disabled preset label
GameWizard.Timer.SecondsFormat,{0}s,{0}с,{0}秒,Move timer preset seconds format
GameWizard.GameSelection.Title,Select Game,Выберите игру,ゲームを選択,Game selection title
GameWizard.GameSelection.Cancel,Cancel,Отмена,キャンセル,Game selection cancel button
GameWizard.GameSelection.Continue,Continue,Продолжить,続行,Game selection continue button
GameWizard.MatchSetup.TicTacToe.BoardSize,Board Size,Размер поля,盤面サイズ,TicTacToe settings: board size label
GameWizard.MatchSetup.TicTacToe.UltimateMode,Ultimate Mode,Ультимейт,アルティメットモード,TicTacToe settings: ultimate toggle label
Errors.GameWizard.GameRequired,Select a game,Выберите игру,ゲームを選択してください,Wizard validation: game is required
Errors.GameWizard.ConfigRequired,Game settings are required,Нужны настройки игры,ゲーム設定が必要です,Wizard validation: config is required
Errors.GameWizard.GameCatalogMissing,Game catalog is not available,Каталог игр недоступен,ゲームカタログが利用できません,Wizard validation: game catalog missing
Errors.GameWizard.GameUnknown,Unknown game,Неизвестная игра,不明なゲームです,Wizard validation: unknown game
Errors.GameWizard.DifficultyRequired,Select bot difficulty,Выберите сложность бота,ボットの難易度を選択してください,Wizard validation: bot difficulty required
Errors.GameWizard.PlayerIdRequired,Select a player,Выберите игрока,プレイヤーを選択してください,Wizard validation: target player required
Errors.GameWizard.PlayerIdInvalid,Invalid player ID,Некорректный ID игрока,無効なプレイヤーIDです,Wizard validation: player id invalid
Errors.GameWizard.MatchmakingConfigMissing,Matchmaking is not available yet,Матчмейкинг пока недоступен,マッチメイキングはまだ利用できません,Wizard validation: matchmaking not implemented
Errors.GameWizard.MatchmakingCancelled,Matchmaking was cancelled,Поиск матча отменён,マッチメイキングがキャンセルされました,Wizard: matchmaking cancelled
Errors.GameWizard.MatchmakingTimeout,Matchmaking timed out,Поиск матча превысил таймаут,マッチメイキングがタイムアウトしました,Matchmaking timeout
Errors.GameWizard.MatchmakingFailed,Matchmaking failed,Поиск матча не удался,マッチメイキングに失敗しました,Matchmaking failed error
Errors.GameWizard.SessionNotReady,Session is not ready,Сессия не готова,セッションの準備ができていません,Wizard validation: session missing
Errors.GameWizard.TicTacToeConfigInvalid,Invalid Tic-Tac-Toe settings,Некорректные настройки крестиков-ноликов,○×ゲームの設定が無効です,Wizard validation: tic-tac-toe config invalid
Errors.GameWizard.TicTacToeBoardSizeInvalid,Board size is out of range,Размер поля вне допустимого диапазона,ボードサイズが範囲外です,Wizard validation: board size out of range
Errors.GameWizard.UnhandledException,An error occurred. Please try again.,Произошла ошибка. Попробуйте ещё раз.,エラーが発生しました。もう一度お試しください。,Wizard: unhandled exception
Errors.Online.SessionNotFound,Session not found,Сессия не найдена,セッションが見つかりません,Online direct invite: session not found
Errors.Online.SessionFull,Session is full,Сессия заполнена,セッションが満員です,Online direct invite: session full
Errors.Online.CannotJoinSelf,Cannot join your own session,Нельзя подключиться к собственной сессии,自分のセッションには参加できません,Online direct invite: cannot join self
Errors.Online.SessionAlreadyInGame,Session already in game,Сессия уже в игре,セッションはすでにゲーム中です,Online direct invite: session already in game
Errors.Online.NetworkUnavailable,Network is unavailable,Сеть недоступна,ネットワークが利用できません,Online direct invite: network unavailable
Errors.Online.RegionMismatchOrUnavailable,Region is unavailable or mismatched,Регион недоступен или не совпадает,リージョンが利用できないか一致しません,Online direct invite: region mismatch or unavailable
Errors.Online.InvalidSessionIdFormat,Invalid session ID format,Некорректный формат ID сессии,セッションIDの形式が無効です,Online direct invite: invalid session id format
Errors.Online.DisconnectTimeout,Reconnect timeout exceeded,Превышено время на переподключение,再接続のタイムアウトを超えました,Online reconnect: timeout exceeded
Errors.Online.OpponentLeft,Opponent left the match,Соперник покинул матч,対戦相手がマッチを退出しました,Online match: opponent left
PlayerStatistics.Title,Player Statistics,Статистика игрока,プレイヤー統計,Statistics screen title
PlayerStatistics.Back,Back,Назад,戻る,Statistics screen back button
PlayerStatistics.Empty,No statistics yet,Пока нет статистики,統計はまだありません,Statistics empty state
PlayerStatistics.Opponent.Online,Online,Онлайн,オンライン,Online opponent label in statistics
Game.Battleship.Name,Battleship,Морской бой,バトルシップ,Game catalog: Battleship display name
Game.Battleship.Description,Place ships and sink enemy fleet,Расставьте корабли и потопите флот соперника,艦を配置して相手の艦隊を撃沈しよう,Game catalog: Battleship description
Game.Battleship.OwnBoard,Your board,Ваше поле,自分のボード,Battleship gameplay: own board title
Game.Battleship.OpponentBoard,Opponent board,Поле соперника,相手のボード,Battleship gameplay: opponent board title
Game.Battleship.Placement.AutoButton,Auto place,Случайно,自動配置,Battleship placement panel: auto place button
Game.Battleship.Placement.RotateButton,Rotate,Повернуть,回転,Battleship placement panel: rotate selected ship button
Game.Battleship.Placement.RemoveButton,Remove,Убрать,削除,Battleship placement panel: remove selected ship button
Game.Battleship.Placement.ReadyButton,Ready,Готово,準備完了,Battleship placement panel: confirm placement button
Game.Battleship.Placement.Status.WaitingOpponent,Placement submitted. Waiting for opponent.,Расстановка отправлена. Ожидаем соперника.,配置を送信しました。対戦相手を待っています。,Battleship placement panel status: waiting for opponent
Game.Battleship.Placement.Status.Unavailable,Placement is unavailable.,Расстановка недоступна.,配置は利用できません。,Battleship placement panel status: placement unavailable
Game.Battleship.Placement.Status.PlaceAllShips,Place all ships.,Разместите все корабли.,すべての艦を配置してください。,Battleship placement panel status: fleet is incomplete
Game.Battleship.Placement.Status.ConfirmReady,Press Ready to confirm placement.,"Нажмите «Готово», чтобы подтвердить расстановку.",「準備完了」を押して配置を確定してください。,Battleship placement panel status: fleet can be confirmed
GameWizard.Battleship.PlacementTimer.Label,Placement time,Время на расстановку,配置時間,Battleship settings: placement timer label
Errors.GameWizard.BattleshipConfigInvalid,Invalid Battleship settings,Некорректные настройки морского боя,バトルシップ設定が無効です,Wizard validation: battleship config invalid
Errors.GameWizard.BattleshipMoveTimerRequired,Move timer is required for online Battleship,Для онлайн морского боя нужен таймер хода,オンラインのバトルシップでは手番タイマーが必要です,Wizard validation: battleship online move timer required
Errors.GameWizard.BattleshipPlacementTimerRequired,Placement timer is required for online Battleship,Для онлайн морского боя нужен таймер расстановки,オンラインのバトルシップでは配置タイマーが必要です,Wizard validation: battleship online placement timer required
Errors.GameWizard.BattleshipLocalHumanUnsupported,Local human mode is not supported for Battleship,Локальный режим для двух игроков не поддерживается в морском бое,バトルシップではローカル2人対戦は未対応です,Wizard validation: battleship local human unsupported
Errors.Battleship.Layout.Invalid,Invalid ship placement,Некорректная расстановка кораблей,艦の配置が無効です,Battleship placement validation error
Errors.Battleship.Layout.InvalidFleet,Fleet composition is invalid,Состав флота некорректен,艦隊構成が無効です,Battleship fleet composition validation error

